,subj-4_scrape-318_col-1,subj-4_scrape-321_col-1,subj-4_scrape-321_col-2,subj-4_scrape-321_col-3,subj-4_scrape-319_col-1,subj-4_scrape-318_col-2,subj-4_scrape-319_col-2,subj-4_scrape-318_col-3,subj-4_scrape-319_col-3,subj-4_scrape-319_col-4,subj-4_scrape-318_col-4,subj-4_scrape-319_col-5,subj-4_scrape-318_col-5,subj-4_scrape-319_col-6,subj-4_scrape-318_col-6,subj-4_scrape-312_col-1,subj-4_scrape-312_col-2,subj-4_scrape-312_col-3,subj-4_scrape-312_col-4,subj-4_scrape-313_col-1,subj-4_scrape-312_col-5,subj-4_scrape-321_col-4,subj-4_scrape-312_col-6,subj-4_scrape-321_col-5,subj-4_scrape-314_col-1,subj-4_scrape-317_col-1,subj-4_scrape-317_col-2,subj-4_scrape-317_col-3,subj-4_scrape-317_col-4,subj-4_scrape-313_col-2,subj-4_scrape-314_col-2,subj-4_scrape-315_col-1,subj-4_scrape-316_col-1,subj-4_scrape-313_col-3,subj-4_scrape-315_col-2,subj-4_scrape-314_col-3,subj-4_scrape-315_col-3,subj-4_scrape-313_col-4,subj-4_scrape-314_col-4,subj-4_scrape-315_col-4,subj-4_scrape-313_col-5,subj-4_scrape-314_col-5,subj-4_scrape-316_col-2,subj-4_scrape-313_col-6,subj-4_scrape-314_col-6,subj-4_scrape-315_col-5,
subj-4_scrape-313_col-3,8,12,17,9,31,29,30,29,12,12,29,31,29,6,10,16,9,13,15,11,11,14,8,13,11,25,28,26,25,1,14,14,13,0,8,13,8,11,12,17,12,11,8,1,11,9,
subj-4_scrape-315_col-2,6,10,19,7,29,29,28,29,10,10,29,29,29,5,7,15,7,11,14,9,10,13,6,11,9,23,26,24,23,7,12,11,11,8,0,10,1,11,11,15,10,9,6,7,7,9,
subj-4_scrape-314_col-3,9,15,15,10,31,30,30,30,12,12,30,31,30,8,11,16,11,7,10,14,14,9,11,7,4,25,28,26,25,11,7,15,7,13,10,0,11,12,15,19,15,6,11,10,13,13,
subj-4_scrape-315_col-3,7,11,20,8,29,29,28,29,11,11,29,30,29,6,9,16,7,12,15,9,10,14,7,11,10,24,27,25,24,8,13,12,12,8,1,11,0,11,10,15,11,9,7,8,7,9,
subj-4_scrape-313_col-4,11,14,19,11,32,31,29,31,15,15,31,32,31,10,13,20,11,15,17,13,9,15,11,13,12,27,30,28,27,11,15,14,14,11,11,12,11,0,12,21,15,12,11,12,12,14,
subj-4_scrape-314_col-4,11,16,22,12,28,26,26,26,15,15,26,28,26,11,14,17,12,17,19,15,13,18,11,15,14,22,24,24,22,11,17,15,17,12,11,15,10,12,0,15,15,14,12,11,4,15,
subj-4_scrape-315_col-4,17,20,25,18,33,37,31,37,20,20,37,33,37,15,18,23,15,18,21,19,21,22,17,17,17,30,34,32,31,16,21,18,20,17,15,19,15,21,15,0,21,15,16,17,16,17,
subj-4_scrape-313_col-5,10,14,21,11,33,33,32,33,14,14,33,33,33,9,12,19,11,15,18,13,14,17,10,15,13,27,30,28,27,10,16,14,15,12,10,15,11,15,15,21,0,13,10,11,12,13,
subj-4_scrape-314_col-5,7,13,10,8,28,29,26,29,10,10,29,28,29,6,9,15,10,5,7,12,12,7,8,5,3,22,25,23,22,10,6,15,5,11,9,6,9,12,14,15,13,0,9,10,12,12,
subj-4_scrape-316_col-2,6,10,19,7,29,29,28,29,10,10,29,29,29,4,8,15,6,11,14,9,10,12,6,10,9,23,26,24,23,6,12,11,11,8,6,11,7,11,12,16,10,9,0,7,9,8,
subj-4_scrape-313_col-6,7,10,16,8,30,29,29,29,11,11,29,30,29,6,9,16,8,12,15,10,10,14,7,11,10,23,26,24,23,0,13,13,12,1,7,10,8,12,11,17,11,10,7,0,9,10,
subj-4_scrape-314_col-6,9,12,21,10,31,27,30,27,12,12,27,31,27,8,11,16,8,14,17,10,11,15,7,11,11,24,26,24,24,10,13,12,14,11,7,13,7,12,4,16,12,12,9,9,0,11,
subj-4_scrape-315_col-5,9,13,22,10,32,32,31,32,13,13,32,32,32,8,11,18,9,14,17,12,13,15,9,13,12,26,29,26,26,10,15,7,14,9,9,13,9,14,15,17,13,12,8,10,11,0,
