Path,Sample,ReferenceGenome,ProviderName,Subject,
/scratch/mit_lieberman/raw_data/2018/Pacnes_biogeo/2016_08_Pool2_HFF5FBGXY/,H:319-Scr-brBa-1_t11,Pacnes_C1,N713S527,4,
/scratch/mit_lieberman/raw_data/2018/Pacnes_biogeo/2016_08_Pool2_HFF5FBGXY/,H:319-Scr-brBa-4_t11,Pacnes_C1,N716S527,4,
/scratch/mit_lieberman/raw_data/2018/Pacnes_biogeo/2016_08_Pool2_HFF5FBGXY/,H:318-Scr-trBa-4_t11,Pacnes_C1,N716S525,4,
/scratch/mit_lieberman/raw_data/2018/Pacnes_biogeo/2016_08_Pool2_HFF5FBGXY/,H:319-Scr-brBa-3_t11,Pacnes_C1,N715S527,4,
/scratch/mit_lieberman/raw_data/2018/Pacnes_biogeo/2016_08_Pool2_HFF5FBGXY/,H:318-Scr-trBa-3_t11,Pacnes_C1,N715S525,4,
/scratch/mit_lieberman/raw_data/2018/Pacnes_biogeo/2016_08_Pool2_HFF5FBGXY/,H:319-Scr-brBa-2_t11,Pacnes_C1,N714S527,4,
/scratch/mit_lieberman/raw_data/2018/Pacnes_biogeo/2016_08_Pool2_HFF5FBGXY/,H:318-Scr-trBa-1_t11,Pacnes_C1,N713S525,4,
/scratch/mit_lieberman/raw_data/2018/Pacnes_biogeo/2016_08_Pool1_HHW2FBGXY/,H:312-Scr-Fo-1_t11,Pacnes_C1,N724S511,4,
/scratch/mit_lieberman/raw_data/2018/Pacnes_biogeo/2016_08_Pool1_HHW2FBGXY/,H:312-Scr-Fo-2_t11,Pacnes_C1,N724S509,4,
/scratch/mit_lieberman/raw_data/2018/Pacnes_biogeo/2016_08_Pool1_HHW2FBGXY/,H:312-Scr-Fo-3_t11,Pacnes_C1,N723S511,4,
/scratch/mit_lieberman/raw_data/2018/Pacnes_biogeo/2016_08_Pool1_HHW2FBGXY/,H:312-Scr-Fo-4_t11,Pacnes_C1,N723S509,4,
/scratch/mit_lieberman/raw_data/2018/Pacnes_biogeo/2016_08_Pool1_HHW2FBGXY/,H:313-Scr-Rc-6_t11,Pacnes_C1,N713S516,4,
/scratch/mit_lieberman/raw_data/2018/Pacnes_biogeo/2016_08_Pool1_HHW2FBGXY/,H:312-Scr-Fo-5_t11,Pacnes_C1,N722S511,4,
/scratch/mit_lieberman/raw_data/2018/Pacnes_biogeo/2016_08_Pool1_HHW2FBGXY/,H:321-Scr-clLc-1_t11,Pacnes_C1,N722S509,4,
/scratch/mit_lieberman/raw_data/2018/Pacnes_biogeo/2016_08_Pool1_HHW2FBGXY/,H:312-Scr-Fo-6_t11,Pacnes_C1,N721S511,4,
/scratch/mit_lieberman/raw_data/2018/Pacnes_biogeo/2016_08_Pool1_HHW2FBGXY/,H:321-Scr-clLc-2_t11,Pacnes_C1,N721S509,4,
/scratch/mit_lieberman/raw_data/2018/Pacnes_biogeo/2016_08_Pool1_HHW2FBGXY/,H:314-Scr-Lc-6_t11,Pacnes_C1,N713S514,4,
/scratch/mit_lieberman/raw_data/2018/Pacnes_biogeo/2016_08_Pool1_HHW2FBGXY/,H:317-Scr-Ch-1_t11,Pacnes_C1,N720S511,4,
/scratch/mit_lieberman/raw_data/2018/Pacnes_biogeo/2016_08_Pool1_HHW2FBGXY/,H:317-Scr-Ch-2_t11,Pacnes_C1,N720S510,4,
/scratch/mit_lieberman/raw_data/2018/Pacnes_biogeo/2016_08_Pool1_HHW2FBGXY/,H:317-Scr-Ch-3_t11,Pacnes_C1,N720S509,4,
/scratch/mit_lieberman/raw_data/2018/Pacnes_biogeo/2016_08_Pool1_HHW2FBGXY/,H:317-Scr-Ch-4_t11,Pacnes_C1,N719S511,4,
/scratch/mit_lieberman/raw_data/2018/Pacnes_biogeo/2016_08_Pool1_HHW2FBGXY/,H:313-Scr-Rc-1_t11,Pacnes_C1,N718S516,4,
/scratch/mit_lieberman/raw_data/2018/Pacnes_biogeo/2016_08_Pool1_HHW2FBGXY/,H:314-Scr-Lc-1_t11,Pacnes_C1,N718S514,4,
/scratch/mit_lieberman/raw_data/2018/Pacnes_biogeo/2016_08_Pool1_HHW2FBGXY/,H:315-Scr-crNo-1_t11,Pacnes_C1,N718S512,4,
