,subj-1_scrape-379_col-1,subj-1_scrape-379_col-2,subj-1_scrape-379_col-3,subj-1_scrape-380_col-1,subj-1_scrape-380_col-2,subj-1_scrape-380_col-3,subj-1_scrape-380_col-4,subj-1_scrape-380_col-5,subj-1_scrape-380_col-6,subj-1_scrape-297_col-1,subj-1_scrape-297_col-2,subj-1_scrape-298_col-1,subj-1_scrape-298_col-2,subj-1_scrape-298_col-3,subj-1_scrape-299_col-1,subj-1_scrape-288_col-1,subj-1_scrape-288_col-2,subj-1_scrape-288_col-3,subj-1_scrape-287_col-1,subj-1_scrape-287_col-2,subj-1_scrape-291_col-3,subj-1_scrape-287_col-3,subj-1_scrape-67_col-1,subj-1_scrape-67_col-2,subj-1_scrape-68_col-1,subj-1_scrape-66_col-1,subj-1_scrape-66_col-2,subj-1_scrape-66_col-3,subj-1_scrape-67_col-3,subj-1_scrape-416_col-1,subj-1_scrape-416_col-2,subj-1_scrape-416_col-3,subj-1_scrape-416_col-4,subj-1_scrape-417_col-1,subj-1_scrape-417_col-2,subj-1_scrape-417_col-3,subj-1_scrape-417_col-4,subj-1_scrape-418_col-2,subj-1_scrape-415_col-3,subj-1_scrape-418_col-3,subj-1_scrape-418_col-4,subj-1_scrape-442_col-1,subj-1_scrape-442_col-3,subj-1_scrape-442_col-6,subj-1_scrape-444_col-1,subj-1_scrape-444_col-2,subj-1_scrape-444_col-3,subj-1_scrape-444_col-4,subj-1_scrape-444_col-5,subj-1_scrape-443_col-1,subj-1_scrape-443_col-2,subj-1_scrape-443_col-3,subj-1_scrape-443_col-4,subj-1_scrape-443_col-5,subj-1_scrape-443_col-6,subj-1_scrape-444_col-7,subj-1_scrape-444_col-8,subj-1_scrape-444_col-9,subj-1_scrape-444_col-13,subj-1_scrape-444_col-14,subj-1_scrape-443_col-7,subj-1_scrape-443_col-8,subj-1_scrape-443_col-9,
subj-1_scrape-66_col-1,11,9,13,12,10,10,9,12,13,9,9,10,10,9,9,13,12,12,6,6,9,9,12,10,13,0,10,9,12,8,8,11,7,14,13,14,10,13,8,13,13,15,12,12,14,14,13,11,2,15,10,16,8,13,19,3,14,14,14,14,14,12,13,
subj-1_scrape-66_col-2,13,7,11,10,0,0,3,10,9,3,3,0,0,3,9,11,8,8,4,4,3,7,10,4,11,10,0,9,10,8,8,9,7,10,9,10,8,7,10,7,7,13,2,6,12,10,3,9,10,9,12,10,6,15,15,11,10,10,10,10,8,10,11,
subj-1_scrape-66_col-3,12,8,12,11,9,9,8,11,12,8,8,9,9,8,8,12,11,11,5,5,8,8,11,9,12,9,9,0,11,7,7,10,6,13,12,13,9,12,9,12,12,14,11,11,13,13,12,10,9,14,11,15,7,14,18,10,13,13,13,13,13,11,12,
subj-1_scrape-67_col-3,15,3,1,12,10,10,9,8,13,9,9,10,10,9,11,13,12,12,6,6,9,9,12,10,13,12,10,11,0,10,10,11,9,14,13,14,10,13,12,13,13,11,12,12,14,14,13,11,12,15,14,16,8,17,19,13,14,14,14,14,14,12,9,
subj-1_scrape-416_col-1,11,7,11,10,8,8,7,10,11,7,7,8,8,7,3,11,10,10,4,4,7,7,10,8,11,8,8,7,10,0,0,9,1,12,11,12,8,11,8,11,11,13,10,10,12,12,11,9,8,13,10,14,6,13,17,9,12,12,12,12,12,10,11,
subj-1_scrape-416_col-2,11,7,11,10,8,8,7,10,11,7,7,8,8,7,3,11,10,10,4,4,7,7,10,8,11,8,8,7,10,0,0,9,1,12,11,12,8,11,8,11,11,13,10,10,12,12,11,9,8,13,10,14,6,13,17,9,12,12,12,12,12,10,11,
subj-1_scrape-416_col-3,14,8,12,11,9,9,8,11,12,8,8,9,9,8,10,12,11,11,5,5,8,8,11,9,12,11,9,10,11,9,9,0,8,13,12,13,9,12,11,12,12,14,11,11,13,13,12,2,11,14,13,15,7,16,18,12,13,13,13,13,13,11,12,
subj-1_scrape-416_col-4,10,6,10,9,7,7,6,9,10,6,6,7,7,6,2,10,9,9,3,3,6,6,9,7,10,7,7,6,9,1,1,8,0,11,10,11,7,10,7,10,10,12,9,9,11,11,10,8,7,12,9,13,5,12,16,8,11,11,11,11,11,9,10,
subj-1_scrape-417_col-1,17,11,15,14,10,10,9,14,1,9,9,10,10,9,13,15,2,2,8,8,9,11,14,10,15,14,10,13,14,12,12,13,11,0,9,10,12,13,14,13,13,17,12,12,16,4,13,13,14,15,16,16,10,19,15,15,10,4,4,10,14,14,15,
subj-1_scrape-417_col-2,16,10,14,13,9,9,8,13,8,8,8,9,9,8,12,14,7,7,7,7,8,10,13,9,14,13,9,12,13,11,11,12,10,9,0,9,11,12,13,12,12,16,11,11,15,9,12,12,13,14,15,15,9,18,14,14,9,9,9,9,13,13,14,
subj-1_scrape-417_col-3,17,11,15,14,10,10,9,14,9,9,9,10,10,9,13,15,8,8,8,8,9,11,14,10,15,14,10,13,14,12,12,13,11,10,9,0,12,13,14,13,13,17,12,12,16,10,13,13,14,15,16,16,10,19,15,15,10,10,10,10,14,14,15,
