Path,Sample,ReferenceGenome,ProviderName,Subject,
/scratch/mit_lieberman/raw_data/2018/Pacnes_biogeo/2016_08_Pool1_HHW2FBGXY/ /scratch/mit_lieberman/raw_data/2018/Pacnes_biogeo/2016_08_Pool2_HFF5FBGXY/,K:345-Scr-clNo-1_t11,Pacnes_C1,N717S507,K,
/scratch/mit_lieberman/raw_data/2018/Pacnes_biogeo/2016_08_Pool1_HHW2FBGXY/ /scratch/mit_lieberman/raw_data/2018/Pacnes_biogeo/2016_08_Pool2_HFF5FBGXY/,M:353-Scr-clNo-1_t11,Pacnes_C1,N717S506,M,
/scratch/mit_lieberman/raw_data/2018/Pacnes_biogeo/2016_08_Pool1_HHW2FBGXY/ /scratch/mit_lieberman/raw_data/2018/Pacnes_biogeo/2016_08_Pool2_HFF5FBGXY/,N:372-Scr-tlBa-1_t11,Pacnes_C1,N717S505,N,
/scratch/mit_lieberman/raw_data/2018/Pacnes_biogeo/2016_08_Pool1_HHW2FBGXY/ /scratch/mit_lieberman/raw_data/2018/Pacnes_biogeo/2016_08_Pool2_HFF5FBGXY/,K:344-Scr-crNo-1_t11,Pacnes_C1,N717S504,K,
/scratch/mit_lieberman/raw_data/2018/Pacnes_biogeo/2016_08_Pool1_HHW2FBGXY/ /scratch/mit_lieberman/raw_data/2018/Pacnes_biogeo/2016_08_Pool2_HFF5FBGXY/,I:334-Scr-clLc-1_t11,Pacnes_C1,N717S503,I,
/scratch/mit_lieberman/raw_data/2018/Pacnes_biogeo/2016_08_Pool1_HHW2FBGXY/ /scratch/mit_lieberman/raw_data/2018/Pacnes_biogeo/2016_08_Pool2_HFF5FBGXY/,O:383-Scr-Lc-2_t11,Pacnes_C1,N716S508,O,
/scratch/mit_lieberman/raw_data/2018/Pacnes_biogeo/2016_08_Pool1_HHW2FBGXY/ /scratch/mit_lieberman/raw_data/2018/Pacnes_biogeo/2016_08_Pool2_HFF5FBGXY/,K:343-Scr-Lc-4_t11,Pacnes_C1,N716S506,K,
/scratch/mit_lieberman/raw_data/2018/Pacnes_biogeo/2016_08_Pool1_HHW2FBGXY/ /scratch/mit_lieberman/raw_data/2018/Pacnes_biogeo/2016_08_Pool2_HFF5FBGXY/,A:375-Scr-Lc-1_t11,Pacnes_C1,N713S503,A,
/scratch/mit_lieberman/raw_data/2018/Pacnes_biogeo/2016_08_Pool1_HHW2FBGXY/ /scratch/mit_lieberman/raw_data/2018/Pacnes_biogeo/2016_08_Pool2_HFF5FBGXY/,K:346-Scr-Ch-2_t11,Pacnes_C1,N716S502,K,
/scratch/mit_lieberman/raw_data/2018/Pacnes_biogeo/2016_08_Pool1_HHW2FBGXY/ /scratch/mit_lieberman/raw_data/2018/Pacnes_biogeo/2016_08_Pool2_HFF5FBGXY/,O:383-Scr-Lc-1_t11,Pacnes_C1,N715S508,O,
/scratch/mit_lieberman/raw_data/2018/Pacnes_biogeo/2016_08_Pool1_HHW2FBGXY/ /scratch/mit_lieberman/raw_data/2018/Pacnes_biogeo/2016_08_Pool2_HFF5FBGXY/,A:373-Scr-Fo-3_t11,Pacnes_C1,N715S507,A,
/scratch/mit_lieberman/raw_data/2018/Pacnes_biogeo/2016_08_Pool1_HHW2FBGXY/ /scratch/mit_lieberman/raw_data/2018/Pacnes_biogeo/2016_08_Pool2_HFF5FBGXY/,K:343-Scr-Lc-3_t11,Pacnes_C1,N715S506,K,
/scratch/mit_lieberman/raw_data/2018/Pacnes_biogeo/2016_08_Pool1_HHW2FBGXY/ /scratch/mit_lieberman/raw_data/2018/Pacnes_biogeo/2016_08_Pool2_HFF5FBGXY/,M:355-Scr-trBa-4_t11,Pacnes_C1,N715S504,M,
/scratch/mit_lieberman/raw_data/2018/Pacnes_biogeo/2016_08_Pool1_HHW2FBGXY/ /scratch/mit_lieberman/raw_data/2018/Pacnes_biogeo/2016_08_Pool2_HFF5FBGXY/,O:384-Scr-crNo-1_t11,Pacnes_C1,N713S502,O,
/scratch/mit_lieberman/raw_data/2018/Pacnes_biogeo/2016_08_Pool1_HHW2FBGXY/ /scratch/mit_lieberman/raw_data/2018/Pacnes_biogeo/2016_08_Pool2_HFF5FBGXY/,I:333-Scr-crRc-2_t11,Pacnes_C1,N714S508,I,
/scratch/mit_lieberman/raw_data/2018/Pacnes_biogeo/2016_08_Pool1_HHW2FBGXY/ /scratch/mit_lieberman/raw_data/2018/Pacnes_biogeo/2016_08_Pool2_HFF5FBGXY/,A:373-Scr-Fo-2_t11,Pacnes_C1,N714S507,A,
/scratch/mit_lieberman/raw_data/2018/Pacnes_biogeo/2016_08_Pool1_HHW2FBGXY/ /scratch/mit_lieberman/raw_data/2018/Pacnes_biogeo/2016_08_Pool2_HFF5FBGXY/,K:343-Scr-Lc-2_t11,Pacnes_C1,N714S506,K,
/scratch/mit_lieberman/raw_data/2018/Pacnes_biogeo/2016_08_Pool1_HHW2FBGXY/ /scratch/mit_lieberman/raw_data/2018/Pacnes_biogeo/2016_08_Pool2_HFF5FBGXY/,M:354-Scr-Ch-2_t11,Pacnes_C1,N714S505,M,
/scratch/mit_lieberman/raw_data/2018/Pacnes_biogeo/2016_08_Pool1_HHW2FBGXY/ /scratch/mit_lieberman/raw_data/2018/Pacnes_biogeo/2016_08_Pool2_HFF5FBGXY/,M:355-Scr-trBa-2_t11,Pacnes_C1,N714S504,M,
