sample-id,filename,direction
A-St-C03,A-St-C03_214_L001_R1_001.fastq.gz,forward
A-St-C04,A-St-C04_224_L001_R1_001.fastq.gz,forward
A-St-C05,A-St-C05_234_L001_R1_001.fastq.gz,forward
A-St-C06,A-St-C06_244_L001_R1_001.fastq.gz,forward
A-St-C07,A-St-C07_254_L001_R1_001.fastq.gz,forward
A-St-C08,A-St-C08_264_L001_R1_001.fastq.gz,forward
A-St-C09,A-St-C09_274_L001_R1_001.fastq.gz,forward
A-St-C10,A-St-C10_284_L001_R1_001.fastq.gz,forward
A-St-C11,A-St-C11_294_L001_R1_001.fastq.gz,forward
A-St-C12,A-St-C12_304_L001_R1_001.fastq.gz,forward
A-St-D01,A-St-D01_195_L001_R1_001.fastq.gz,forward
A-St-D02,A-St-D02_205_L001_R1_001.fastq.gz,forward
A-St-D03,A-St-D03_215_L001_R1_001.fastq.gz,forward
A-St-D04,A-St-D04_225_L001_R1_001.fastq.gz,forward
A-St-D05,A-St-D05_235_L001_R1_001.fastq.gz,forward
A-St-D06,A-St-D06_245_L001_R1_001.fastq.gz,forward
A-St-D07,A-St-D07_255_L001_R1_001.fastq.gz,forward
A-St-D08,A-St-D08_265_L001_R1_001.fastq.gz,forward
A-St-D09,A-St-D09_275_L001_R1_001.fastq.gz,forward
A-St-D10,A-St-D10_285_L001_R1_001.fastq.gz,forward
A-St-D11,A-St-D11_295_L001_R1_001.fastq.gz,forward
A-St-D12,A-St-D12_305_L001_R1_001.fastq.gz,forward
A-St-E01,A-St-E01_196_L001_R1_001.fastq.gz,forward
A-St-E02,A-St-E02_206_L001_R1_001.fastq.gz,forward
A-St-E03,A-St-E03_216_L001_R1_001.fastq.gz,forward
A-St-E04,A-St-E04_226_L001_R1_001.fastq.gz,forward
A-St-E05,A-St-E05_236_L001_R1_001.fastq.gz,forward
A-St-E06,A-St-E06_246_L001_R1_001.fastq.gz,forward
A-St-E07,A-St-E07_256_L001_R1_001.fastq.gz,forward
A-St-E08,A-St-E08_266_L001_R1_001.fastq.gz,forward
