Path, Sample, ReferenceGenome, ProviderName, Subject
/not/used,A:253-Stp-Lc78-2_t08,A_440-Scr-Ch-3_scaffold-3-4,XXXXXXXX,1
/not/used,A:209-Stp-Rc60-2_t08,A_440-Scr-Ch-3_scaffold-3-4,XXXXXXXX,1
/not/used,A:207-Stp-Rc60-1_t08,A_440-Scr-Ch-3_scaffold-3-4,XXXXXXXX,1
/not/used,A:196-Stp-Rc57-1_t08,A_440-Scr-Ch-3_scaffold-3-4,XXXXXXXX,1
/not/used,A:201-Stp-Rc58-1_t08,A_440-Scr-Ch-3_scaffold-3-4,XXXXXXXX,1
/not/used,A:253-Stp-Lc78-1_t08,A_440-Scr-Ch-3_scaffold-3-4,XXXXXXXX,1
/not/used,A:215-Stp-No62-1_t08,A_440-Scr-Ch-3_scaffold-3-4,XXXXXXXX,1
/not/used,A:217-Stp-No63-1_t08,A_440-Scr-Ch-3_scaffold-3-4,XXXXXXXX,1
/not/used,A:211-Stp-Rc60-2_t08,A_440-Scr-Ch-3_scaffold-3-4,XXXXXXXX,1
/not/used,A:207-Stp-Rc60-2_t08,A_440-Scr-Ch-3_scaffold-3-4,XXXXXXXX,1
/not/used,A:264-Stp-Lc86-4_t08,A_440-Scr-Ch-3_scaffold-3-4,XXXXXXXX,1
/not/used,A:249-Stp-Fo74-3_t08,A_440-Scr-Ch-3_scaffold-3-4,XXXXXXXX,1
/not/used,A:248-Stp-Fo76-3_t08,A_440-Scr-Ch-3_scaffold-3-4,XXXXXXXX,1
/not/used,A:242-Stp-Rc70-2_t08,A_440-Scr-Ch-3_scaffold-3-4,XXXXXXXX,1
/not/used,A:272-Ext-tlChW-4_t08,A_440-Scr-Ch-3_scaffold-3-4,XXXXXXXX,1
/not/used,A:235-Stp-Rc72-1_t08,A_440-Scr-Ch-3_scaffold-3-4,XXXXXXXX,1
/not/used,A:272-Ext-tlChW-3_t08,A_440-Scr-Ch-3_scaffold-3-4,XXXXXXXX,1
/not/used,A:241-Stp-Rc73-2_t08,A_440-Scr-Ch-3_scaffold-3-4,XXXXXXXX,1
/not/used,A:300-Scr-crBa-4_t08,A_440-Scr-Ch-3_scaffold-3-4,XXXXXXXX,1
/not/used,A:268-Ext-blFoW-2_t08,A_440-Scr-Ch-3_scaffold-3-4,XXXXXXXX,1
/not/used,A:266-Ext-crChW-1_t08,A_440-Scr-Ch-3_scaffold-3-4,XXXXXXXX,1
/not/used,A:240-Stp-Rc73-2_t08,A_440-Scr-Ch-3_scaffold-3-4,XXXXXXXX,1
/not/used,A:241-Stp-Rc73-1_t08,A_440-Scr-Ch-3_scaffold-3-4,XXXXXXXX,1
/not/used,A:300-Scr-crBa-3_t08,A_440-Scr-Ch-3_scaffold-3-4,XXXXXXXX,1
/not/used,A:268-Ext-blFoW-1_t08,A_440-Scr-Ch-3_scaffold-3-4,XXXXXXXX,1
